game,game2,date,date2,series, series,series_game,Lebron s_g,team,Lebron t,opp,Lebron opp,result,Lebron r,mp,Lebron mp,fg,Lebron fg,fga,Lebron fga,fgp,Lebron fgp,three,Lebron 3,threeatt,Lebron 3att,threep,Lebron 3p,ft,Lebron ft,fta,Lebron fta,ftp,Lebron ftp,orb,Lebron orb,drb,Lebron drb,trb,Lebron trb,ast,Lebron ast,stl,Lebron stl,blk,Lebron blk,tov,Lebron tov,pts,Lebron pts,game_score,Lebron g_s,plus_minus,Lebron p_m
1,1,4/28/1989,4/22/2006,EC1,EC1,1,1,CHI,CLE,CLE,WAS,W (+7),W (+11),40,48,12,12,21,27,0.571,0.444,0,1,1,4,0,0.25,7,7,8,11,0.875,0.636,0,3,5,8,5,11,11,11,4,0,1,0,6,4,31,32,26.6,23.3,,11
2,2,4/30/1989,4/25/2006,EC1,EC1,2,2,CHI,CLE,CLE,WAS,L (-8),L (-5),44,43,10,7,22,25,0.455,0.364,0,0,1,3,0,0,10,11,10,13,1,0.846,3,4,2,4,5,8,10,7,2,1,0,2,7,2,30,27,22.5,22.5,,12
3,3,5/3/1989,4/28/2006,EC1,EC1,3,3,CHI,CLE,CLE,WAS,W (+7),W (+1),39,48,18,16,34,28,0.529,0.5,1,3,1,5,1,0.6,7,5,9,7,0.778,0.714,2,0,5,6,7,6,10,9,5,1,1,0,5,2,44,30,35.6,24.1,,6
4,4,5/5/1989,4/30/2006,EC1,EC1,4,4,CHI,CLE,CLE,WAS,L (-3),L (-10),43,45,14,13,28,23,0.5,0.647,0,6,1,9,0,0.667,22,9,27,10,0.815,0.9,0,0,3,12,3,12,4,11,3,2,0,1,1,2,50,37,37.3,39.9,,29
5,5,5/7/1989,5/3/2006,EC1,EC1,5,5,CHI,CLE,CLE,WAS,W (+1),W (+1),44,46,17,14,32,23,0.531,0.438,1,2,1,6,1,0.333,9,13,13,15,0.692,0.867,3,1,6,7,9,8,6,7,1,2,0,1,2,4,44,29,32.7,25.4,,6
6,6,5/9/1989,5/5/2006,ECS,EC1,1,6,CHI,CLE,NYK,WAS,W (+11),W (+1),46,53,11,15,17,25,0.647,0.462,1,0,2,3,0.5,0,11,8,11,10,1,0.8,2,6,8,9,10,15,12,5,2,2,0,1,6,1,34,32,32.7,29.5,,12
7,7,5/11/1989,5/7/2006,ECS,ECS,2,1,CHI,CLE,NYK,DET,L (-17),L (-27),34,36,7,9,17,18,0.412,0.455,0,0,2,4,0,0,1,8,4,13,0.25,0.615,2,4,6,5,8,9,3,5,1,6,0,0,1,2,15,28,8.4,26.4,,-7
8,8,5/13/1989,5/9/2006,ECS,ECS,3,2,CHI,CLE,NYK,DET,W (+23),L (-6),39,48,14,11,25,23,0.56,0.455,1,1,2,4,0.5,0.25,11,1,13,3,0.846,0.333,2,1,13,6,15,7,9,3,6,2,1,0,3,4,40,22,41.4,12,,-9
9,9,5/14/1989,5/13/2006,ECS,ECS,4,3,CHI,CLE,NYK,DET,W (+13),W (+9),42,48,12,9,18,18,0.667,0.519,0,0,1,0,0,0,23,12,28,16,0.821,0.75,0,6,11,12,11,18,6,9,1,2,2,2,6,5,47,40,39.9,37.2,,4
10,10,5/16/1989,5/15/2006,ECS,ECS,5,4,CHI,CLE,NYK,DET,L (-7),W (+2),43,48,13,8,30,23,0.433,0.632,1,2,3,4,0.333,0.5,11,4,15,4,0.733,1,5,3,3,7,8,10,10,8,5,1,1,1,3,4,38,30,33.9,28.6,,28
